Timestamp,Center_X,Center_Y,Center_Z,Center_Angle,Center_Distance,GPS_Latitude,GPS_Longitude,GPS_Altitude
1724962461618213653,3.404391646385193,-0.31484751403331757,0.2730541229248047,-5.283841332174616,3.4298061159658104,47.118634043916465,-88.54730314847515,200.2730541229248
1724962461618598461,3.851095676422119,0.9394182562828064,-0.6042387709021568,13.708739153248674,4.009806611478403,47.118638510956764,-88.54729060581744,199.39576122909784
1724962461693456172,3.724883556365967,0.09700050950050354,0.40761609375476837,1.4917148196334427,3.7483753130145367,47.11863724883556,-88.54729902999492,200.40761609375477
1724962461693851470,3.480432152748108,0.7662765458226204,-0.6463713645935059,12.41654864115509,3.6219309291491393,47.11863480432153,-88.54729233723455,199.3536286354065
1724962461787557840,3.685455322265625,0.042512744665145874,0.4112185835838318,0.6608933232065682,3.7085696689370256,47.11863685455322,-88.54729957487255,200.41121858358383
1724962461787935495,3.2636759281158447,0.47814117558300495,-0.6392634212970734,8.334760602490801,3.359889472789121,47.11863263675928,-88.54729521858825,199.36073657870293
1724962461788194894,10.490036964416504,2.845844030380249,-0.7539279162883759,15.17845192077408,10.895325193083245,47.11870490036964,-88.54727154155971,199.24607208371162
1724962461906948566,3.779794931411743,0.19643598794937134,0.12682130932807922,2.974985913153215,3.787019998017866,47.11863779794931,-88.54729803564013,200.12682130932808
1724962462012624740,3.8188060522079468,0.30275365710258484,0.10482171177864075,4.532909114665485,3.832222205526349,47.11863818806052,-88.54729697246344,200.10482171177864
1724962462111561536,3.799485921859741,0.2587980031967163,0.10962840914726257,3.896623293952036,3.809867197811642,47.11863799485922,-88.54729741201997,200.10962840914726
1724962462209762811,3.60632586479187,0.2407900094985962,0.117503821849823,3.8199000638079736,3.616265092590763,47.11863606325865,-88.54729759209991,200.11750382184982
1724962462210285425,10.33201551437378,2.8600417375564575,-0.7461067736148834,15.472808733230497,10.746490527025996,47.11870332015514,-88.54727139958263,199.25389322638512
1724962462309326171,3.7294607162475586,0.18571269512176514,0.08939611911773682,2.850753108563871,3.735151684373267,47.11863729460716,-88.54729814287306,200.08939611911774
1724962462412367582,3.5053011178970337,0.1909525990486145,0.0951591432094574,3.1181271959206325,3.5117878758190924,47.11863505301118,-88.54729809047402,200.09515914320946
1724962462510282516,3.5476876497268677,0.19387727975845337,0.11520233750343323,3.1280406749421634,3.554848469090819,47.1186354768765,-88.54729806122721,200.11520233750343
1724962462511006832,10.68854808807373,-3.0870734453201294,-0.7822698354721069,-16.10980972501032,11.152893292027628,47.11870688548088,-88.54733087073446,199.2177301645279
1724962462612693309,3.6950888633728027,0.16956782341003418,0.0890338122844696,2.6274629986376152,3.7000489151749916,47.118636950888636,-88.54729830432177,200.08903381228447
1724962462714234590,3.660069227218628,0.1766451895236969,0.09446895122528076,2.7631107157840216,3.6655469787959656,47.11863660069227,-88.5472982335481,200.09446895122528
1724962462817663908,3.6536684036254883,0.19906514883041382,0.08566910028457642,3.1185991631966306,3.6600900169085553,47.118636536684036,-88.54729800934852,200.08566910028458
1724962462919408082,3.657530665397644,0.17417562007904053,0.08592796325683594,2.7264281097550995,3.6626836240417378,47.11863657530665,-88.5472982582438,200.08592796325684
1724962463019146442,3.5590938329696655,0.20202893018722534,0.08385735750198364,3.2488596613300964,3.565809397166724,47.11863559093833,-88.5472979797107,200.08385735750198
1724962463118585109,3.602061629295349,0.16969972848892212,0.09162196516990662,2.6973148306226222,3.6072206147659824,47.11863602061629,-88.54729830300272,200.0916219651699
1724962463220916271,3.660161018371582,0.15347820520401,0.08335205912590027,2.401125204819211,3.6643255594502064,47.118636601610184,-88.54729846521795,200.0833520591259
1724962463322255849,3.6682629585266113,0.19055604934692383,0.08101034164428711,2.97368333215344,3.674102259912541,47.118636682629585,-88.54729809443951,200.0810103416443
1724962463421574354,3.620339512825012,0.21721118688583374,0.09121522307395935,3.433485538923781,3.627996569010344,47.11863620339513,-88.54729782788814,200.09121522307396
1724962463530835628,3.648108124732971,-0.0966571569442749,0.09757483005523682,-1.517704963565426,3.650692584043687,47.118636481081246,-88.54730096657157,200.09757483005524
1724962463635732412,3.6387206315994263,0.2036672830581665,0.0973159670829773,3.2036294058172925,3.6457151005618798,47.118636387206315,-88.54729796332718,200.09731596708298
